"","UniProtID","Selaginella moellendorffii","Amborella trichopoda","Dioscorea rotundata","Musa acuminata","Zea mays","Sorghum bicolor","Setaria italica","Leersia perrieri","Oryza barthii","Oryza meridionalis","Oryza glumaepatula","Oryza glaberrima","Oryza punctata","O. Sativa","Oryza indica","Oryza nivara","Oryza brachyantha","Oryza rufipogon","Oryza longistaminata","Brachypodium distachyon","Aegilops tauschii","Triticum dicoccoides","Triticum urartu","Triticum aestivum","Hordeum vulgare","Beta vulgaris","Nicotiana attenuata","Solanum lycopersicum","Solanum tuberosum","Helianthus annuus","Daucus carota","Vitis vinifera","Lupinus angustifolius","Trifolium pratense","Medicago truncatula","Vigna radiata","Vigna angularis","Phaseolus vulgaris","Glycine max","Prunus persica","Manihot esculenta","Populus trichocarpa","Cucumis sativus","Brassica oleracea","Brassica rapa","Brassica napus","Arabidopsis lyrata","Arabidopsis thaliana","Arabidopsis halleri","Corchorus capsularis","Gossypium raimondii","Theobroma cacao","Physcomitrella patens","Ostreococcus lucimarinus","Chlamydomonas reinhardtii","Galdieria sulphuraria","Cyanidioschyzon merolae","Chondrus crispus"
"282","Q6VMN7","SELMODRAFT_444047,SELMODRAFT_448443","AMTR_s00010p00221790","Dr09737","GSMUA_Achr7G11650_001","Zm00001d028165","SORBI_3001G471100","SETIT_035771mg","LPERR03G06220","OBART03G06890","OMERI03G06780","OGLUM03G07000","ORGLA03G0067000","OPUNC03G06660","OS03G0195100","BGIOSGA012042","ONIVA03G06610","OB03G17110","ORUFI03G06830","KN541076.1_FG004","BRADI_1g71530v3","AET4Gv20652300","TRIDC4AG006080,TRIDC4BG045830",NA,"TraesCS4A02G043800,TraesCS4B02G264500,TraesCS4D02G264500","HORVU4Hr1G071300","BVRB_1g021370",NA,"Solyc11g044840.2","PGSC0003DMG400022929","HannXRQ_Chr07g0190651","DCAR_021843","VIT_12s0055g00920,VIT_18s0001g04630","TanjilG_14884","Tp57577_TGAC_v2_gene13611","MTR_2g008430",NA,"LR48_Vigan07g168200,LR48_Vigan1210s000200","PHAVU_008G169600g","GLYMA_08G180600,GLYMA_15G051800","PRUPE_1G509100,PRUPE_1G509500,PRUPE_1G558600","MANES_18G071300","POPTR_002G091500v3,POPTR_005G115800v3,POPTR_007G013200v3","Csa_2G404730","Bo3g087210","Bra013137,Bra013138","GSBRNA2T00149973001,GSBRNA2T00155039001,GSBRNA2T00155043001","fgenesh2_kg.3__3025__AT2G13810.1","AT2G13810","g21291","CCACVL1_10016,CCACVL1_20057","B456_005G218300,B456_009G241000","TCM_007530,TCM_034983","Pp3c13_22230","OSTLU_30412","CHLRE_17g734200v5","Gasu_26260",NA,"CHC_T00008432001"
"283","Q10QH1","SELMODRAFT_101485,SELMODRAFT_132502","AMTR_s00028p00071100","Dr10681","GSMUA_Achr6G24840_001,GSMUA_AchrUn_randomG02510_001","Zm00001d028154","SORBI_3001G470000",NA,"LPERR03G06300,LPERR03G06370","OBART03G06970","OMERI03G06860",NA,"ORGLA03G0068000","OPUNC03G06760","OS03G0196600","BGIOSGA011282","ONIVA03G06720","OB03G17240",NA,NA,"BRADI_1g71430v3","AET4Gv20650200","TRIDC4AG005970,TRIDC4BG045630",NA,"TraesCS4A02G042700,TraesCS4B02G263300,TraesCS4D02G263500","HORVU4Hr1G071040","BVRB_4g090050","A4A49_01111","Solyc07g065340.1,Solyc10g006040.1","PGSC0003DMG400014379,PGSC0003DMG400022181","HannXRQ_Chr03g0077731,HannXRQ_Chr11g0324721,HannXRQ_Chr11g0333431","DCAR_013222,DCAR_017087","VIT_00s0194g00120,VIT_19s0015g00130","TanjilG_11643,TanjilG_15269,TanjilG_25015,TanjilG_29688","Tp57577_TGAC_v2_gene8597","MTR_3g058410,MTR_5g095470","vigra.VC1973A.gnm6.ann1.Vradi06g01110,vigra.VC1973A.gnm6.ann1.Vradi10g02650","LR48_Vigan07g013100,LR48_Vigan09g100400","PHAVU_006G055200g,PHAVU_008G277800g","GLYMA_02G299100,GLYMA_08G327400,GLYMA_14G014700,GLYMA_18G080000","PRUPE_4G239400,PRUPE_4G239500","MANES_03G139000,MANES_15G062000","POPTR_001G364000v3,POPTR_001G365500v3","Csa_3G769110","Bo3g185740,Bo4g040020,Bo6g035890,Bo6g051550","Bra030821,Bra034705,Bra037094,Bra038031","GSBRNA2T00008091001,GSBRNA2T00011337001,GSBRNA2T00032469001,GSBRNA2T00034695001,GSBRNA2T00074688001,GSBRNA2T00125599001,GSBRNA2T00141452001","fgenesh2_kg.1__4616__AT1G55920.1,scaffold_301498.1","AT1G55920,AT3G13110","g05705","CCACVL1_11257","B456_002G098400,B456_013G154200","TCM_030406,TCM_030673","Pp3c23_17150,Pp3c24_14040,Pp3c8_18470","OSTLU_87889","CHLRE_10g466750v5","Gasu_43310,Gasu_48740","CMA007C,CMI299C",NA
"284","Q10QA5",NA,"AMTR_s00164p00017630","Dr10595","GSMUA_Achr6G07720_001,GSMUA_Achr6G24070_001,GSMUA_AchrUn_randomG08060_001","Zm00001d028094,Zm00001d048146","SORBI_3001G465100","SETIT_036746mg","LPERR03G06790","OBART03G07370","OMERI03G07240","OGLUM03G07540","ORGLA03G0072300","OPUNC03G07190","OS03G0203200","BGIOSGA012067","ONIVA03G07830","OB03G17740","ORUFI03G07410","KN538728.1_FG041","BRADI_1g70930v3","AET4Gv20640700","TRIDC4AG006480,TRIDC4BG044720",NA,"TraesCS4A02G046700,TraesCS4B02G258200,TraesCS4D02G258000","HORVU4Hr1G070070,HORVU5Hr1G089150","BVRB_1g015160",NA,"Solyc04g077860.3",NA,"HannXRQ_Chr11g0325791,HannXRQ_Chr12g0381331","DCAR_009882","VIT_18s0001g09140","TanjilG_01097,TanjilG_24939","Tp57577_TGAC_v2_gene3785","MTR_1g018320","vigra.VC1973A.gnm6.ann1.Vradi06g14660","LR48_Vigan07g265000","PHAVU_001G027400g","GLYMA_14G089000,GLYMA_17G235300","PRUPE_1G423400","MANES_18G046100","POPTR_002G118900v3,POPTR_014G016500v3","Csa_2G354780","Bo1g153270,Bo5g148480","Bra031957,Bra036416","GSBRNA2T00075622001,GSBRNA2T00097699001","fgenesh2_kg.3__357__AT3G03990.1","AT3G03990","g06139","CCACVL1_21735","B456_009G219500,B456_010G025600","TCM_034711",NA,NA,NA,NA,NA,NA
"285","Q10Q49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OS03G0209900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","Q76EJ0",NA,"AMTR_s00047p00199030","Dr04317,Dr14599","GSMUA_Achr1G04480_001,GSMUA_Achr1G24490_001,GSMUA_Achr1G27150_001,GSMUA_Achr3G25290_001,GSMUA_Achr4G01430_001,GSMUA_Achr5G08930_001,GSMUA_Achr6G24550_001,GSMUA_Achr8G04340_001","Zm00001d028216,Zm00001d048083","SORBI_3001G456000","SETIT_037608mg","LPERR03G07620","OBART03G08320","OMERI03G08070","OGLUM03G08460","ORGLA03G0081000","OPUNC03G08080","OS03G0215200","BGIOSGA012115","ONIVA03G09180","OB03G18700","ORUFI03G08400","KN538847.1_FG039","BRADI_1g69900v3","AET0Gv20002000","TRIDC4AG008110,TRIDC4BG042970","TRIUR3_31693","TraesCS4A02G058800,TraesCS4B02G245900,TraesCS4D02G245300","HORVU4Hr1G067780","BVRB_6g136200",NA,"Solyc01g010240.3,Solyc05g012050.3","PGSC0003DMG400028360","HannXRQ_Chr12g0375091,HannXRQ_Chr15g0476711","DCAR_026683,DCAR_030050","VIT_01s0011g00140","TanjilG_21851","Tp57577_TGAC_v2_gene38485","MTR_5g046230","vigra.VC1973A.gnm6.ann1.Vradi0228s00170","LR48_Vigan06g114400","PHAVU_003G039800g","GLYMA_01G063500,GLYMA_02G121100","PRUPE_1G290100","MANES_01G026100,MANES_05G111000","POPTR_008G097800v3","Csa_5G606780","Bo6g108630","Bra004364","GSBRNA2T00101975001","fgenesh2_kg.2__1172__AT1G69180.1","AT1G69180","g25246","CCACVL1_06454","B456_005G146700","TCM_011484",NA,NA,NA,NA,NA,NA
"287","Q10PZ9",NA,NA,NA,NA,NA,NA,NA,"LPERR03G07630","OBART03G08330","OMERI03G08080","OGLUM03G08470","ORGLA03G0081100","OPUNC03G08100","OS03G0215400","BGIOSGA011213","ONIVA03G09190","OB03G18710","ORUFI03G08410","KN538847.1_FG044",NA,"AET7Gv20313900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bo4g024840","Bra000392,Bra004927,Bra014454","GSBRNA2T00006113001,GSBRNA2T00006114001,GSBRNA2T00011645001,GSBRNA2T00116722001","fgenesh2_kg.4__2761__AT2G45650.1,fgenesh2_kg.5__2575__AT3G61120.1","AT2G45650,AT3G61120","g09777",NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","P14654","SELMODRAFT_151817,SELMODRAFT_184683,SELMODRAFT_270944,SELMODRAFT_82032","AMTR_s00006p00241880,AMTR_s00060p00109730","Dr06714,Dr07313","GSMUA_AchrUn_randomG01460_001","Zm00001d028260,Zm00001d048050","SORBI_3001G451500","SETIT_036352mg",NA,"OBART03G08910","OMERI03G08350","OGLUM03G09040","ORGLA03G0086500","OPUNC03G08600","OS03G0223400","BGIOSGA011196","ONIVA06G01100","OB03G19100","ORUFI03G09030","KN538739.1_FG016","BRADI_1g69530v3",NA,"TRIDC4AG008800",NA,NA,NA,NA,NA,NA,"PGSC0003DMG400014592,PGSC0003DMG400023620",NA,"DCAR_023452,DCAR_030389","VIT_17s0000g01910","TanjilG_04581","Tp57577_TGAC_v2_gene18383,Tp57577_TGAC_v2_gene30014","MTR_3g065250,MTR_6g071070","vigra.VC1973A.gnm6.ann1.Vradi01g05340",NA,"PHAVU_004G148300g","GLYMA_02G243900","PRUPE_3G166500","MANES_02G077900","POPTR_004G085400v3","Csa_3G304140,Csa_5G410730",NA,"Bra008612,Bra023573,Bra028132,Bra039756",NA,"fgenesh2_kg.2__853__AT1G66200.1,fgenesh2_kg.6__1649__AT5G16570.1,scaffold_703639.1","AT1G66200,AT5G16570,AT5G37600","g00114,g20595,g22086","CCACVL1_24387","B456_001G203300,B456_007G187300","TCM_012973","Pp3c20_22420,Pp3c20_22820",NA,"CHLRE_12g530600v5,CHLRE_12g530650v5",NA,NA,NA
"289","Q7XYS3","SELMODRAFT_133317,SELMODRAFT_177201,SELMODRAFT_181219,SELMODRAFT_228572,SELMODRAFT_271334,SELMODRAFT_446021","AMTR_s00059p00186400","Dr00278,Dr10697,Dr20801,Dr20802","GSMUA_Achr5G08810_001,GSMUA_Achr8G04830_001","Zm00001d028282,Zm00001d048021","SORBI_3001G449700","SETIT_035439mg,SETIT_039790mg","LPERR03G08150","OBART03G09080","OMERI03G08510","OGLUM03G09190","ORGLA03G0088000","OPUNC03G08740","OS03G0225900","BGIOSGA012156","ONIVA03G09600","OB12G17020","ORUFI03G09240",NA,"BRADI_1g69330v3","AET4Gv20596400,AET4Gv20596500","TRIDC4AG009050,TRIDC4AG009070,TRIDC4BG041850,TRIDC4BG041860",NA,"TraesCS4A02G061800,TraesCS4A02G061900,TraesCS4B02G237500,TraesCS4B02G237600,TraesCS4D02G238700,TraesCS4D02G238800","HORVU4Hr1G066230,HORVU4Hr1G066270","BVRB_9g218200","A4A49_01643,A4A49_09687,A4A49_28468,A4A49_32213","Solyc01g109140.3,Solyc10g007960.1","PGSC0003DMG400010557,PGSC0003DMG400025158,PGSC0003DMG400025159",NA,NA,"VIT_03s0063g01820,VIT_03s0063g01830,VIT_03s0063g01850,VIT_03s0063g01860","TanjilG_00583,TanjilG_03367,TanjilG_15247","Tp57577_TGAC_v2_gene10221,Tp57577_TGAC_v2_gene10236,Tp57577_TGAC_v2_gene18599,Tp57577_TGAC_v2_gene18604","MTR_1g034320,MTR_1g034330,MTR_4g068550","vigra.VC1973A.gnm6.ann1.Vradi02g03710,vigra.VC1973A.gnm6.ann1.Vradi0315s00130,vigra.VC1973A.gnm6.ann1.Vradi11g11250","LR48_Vigan02g227300,LR48_Vigan06g148800,LR48_Vigan08g167800","PHAVU_003G010700g,PHAVU_007G055700g,PHAVU_011G049600g","GLYMA_07G162900,GLYMA_11G122700","PRUPE_8G110100","MANES_15G146200","POPTR_004G148600v3,POPTR_004G148900v3,POPTR_004G149000v3,POPTR_009G109700v3","Csa_7G075590,Csa_7G075600",NA,NA,NA,NA,NA,NA,"CCACVL1_16254","B456_008G043900,B456_008G044100","TCM_006297","Pp3c1_7150,Pp3c5_3300,Pp3c7_25640",NA,NA,NA,NA,NA
"290","Q5CCK3",NA,"AMTR_s00059p00056420","Dr14632","GSMUA_Achr4G10750_001,GSMUA_AchrUn_randomG22170_001","Zm00001d028325","SORBI_3001G445900","SETIT_035274mg","LPERR03G08270","OBART03G09250","OMERI03G08610","OGLUM03G09330",NA,"OPUNC03G08870","OS03G0227700","BGIOSGA012169","ONIVA02G39360","OB03G19350","ORUFI03G09380","AMDW01038622.1_FG001","BRADI_1g69040v3","AET3Gv21217800,AET4Gv20588900","TRIDC3AG073390,TRIDC3BG084640,TRIDC4AG009550,TRIDC4BG041180","TRIUR3_29045","TraesCS3A02G519000,TraesCS3B02G586500,TraesCS3D02G526300,TraesCS3D02G526400,TraesCS4A02G078000,TraesCS4B02G234100,TraesCS4D02G235200","HORVU4Hr1G065440","BVRB_6g137400","A4A49_17120","Solyc02g085360.3","PGSC0003DMG400014902","HannXRQ_Chr16g0530291","DCAR_017264","VIT_04s0023g01630","TanjilG_13004,TanjilG_22807","Tp57577_TGAC_v2_gene28682,Tp57577_TGAC_v2_gene34980","MTR_5g020020,MTR_8g077810","vigra.VC1973A.gnm6.ann1.Vradi07g00460,vigra.VC1973A.gnm6.ann1.Vradi11g05620","LR48_Vigan01g185900,LR48_Vigan06g044600","PHAVU_002G029700g,PHAVU_003G253100g","GLYMA_01G175500,GLYMA_02G057500,GLYMA_11G067700","PRUPE_7G153500","MANES_02G093100","POPTR_005G124000v3,POPTR_007G026500v3","Csa_4G038710","Bo01514s010,Bo8g080080","Bra030023,Bra036097","GSBRNA2T00026775001,GSBRNA2T00035353001,GSBRNA2T00092965001,GSBRNA2T00129181001","scaffold_502097.1","AT3G50660","g14976","CCACVL1_26190","B456_007G203700","TCM_000402",NA,NA,NA,NA,NA,NA
"291","Q84U04","SELMODRAFT_164618,SELMODRAFT_444651","AMTR_s00024p00142920","Dr18653","GSMUA_Achr4G31270_001,GSMUA_Achr8G30730_001","Zm00001d047981","SORBI_3001G443800","SETIT_035388mg","LPERR03G08720","OBART03G09750","OMERI03G09060","OGLUM03G09840","ORGLA03G0093400","OPUNC03G09380","OS03G0236200","BGIOSGA012193","ONIVA03G10140","OB03G19900","ORUFI03G09910","KN538691.1_FG001","BRADI_1g68807v3","AET4Gv20584800,AET5Gv21127400","TRIDC4AG009860,TRIDC4AG054970,TRIDC4BG040870,TRIDC5BG075630","TRIUR3_01169,TRIUR3_14647","TraesCS4A02G075600,TraesCS4A02G369200,TraesCS4B02G231400,TraesCS4D02G232700","HORVU4Hr1G064790","BVRB_6g131770,BVRB_6g131780","A4A49_00487","Solyc01g005000.3,Solyc04g025530.3,Solyc05g054050.3,Solyc11g011920.2","PGSC0003DMG400013331,PGSC0003DMG400022764","HannXRQ_Chr07g0190181","DCAR_002639,DCAR_003413,DCAR_026838","VIT_01s0011g06600,VIT_04s0079g00600","TanjilG_01499,TanjilG_09682,TanjilG_18840,TanjilG_21281","Tp57577_TGAC_v2_gene11913,Tp57577_TGAC_v2_gene18883,Tp57577_TGAC_v2_gene26667","MTR_3g064740,MTR_5g077090","vigra.VC1973A.gnm6.ann1.Vradi0343s00030,vigra.VC1973A.gnm6.ann1.Vradi0389s00040,vigra.VC1973A.gnm6.ann1.Vradi0389s00050,vigra.VC1973A.gnm6.ann1.Vradi06g05850,vigra.VC1973A.gnm6.ann1.Vradi10g04550","LR48_Vigan07g078700,LR48_Vigan09g147200,LR48_Vigan252s006500","PHAVU_002G185800g,PHAVU_002G185900g,PHAVU_002G186000g,PHAVU_006G087600g,PHAVU_008G2397001g","GLYMA_02G241400,GLYMA_05G136100,GLYMA_08G091300,GLYMA_08G091400,GLYMA_08G091500,GLYMA_11G213000,GLYMA_14G211100,GLYMA_18G043600","PRUPE_1G339900,PRUPE_3G015900,PRUPE_3G016000","MANES_01G122200,MANES_01G122400,MANES_02G080400,MANES_17G091400","POPTR_004G075200v3,POPTR_004G075300v3,POPTR_008G141100v3,POPTR_010G100500v3,POPTR_T059200v3","Csa_5G100000,Csa_5G106010,Csa_5G348050","Bo2g013590,Bo2g134870,Bo3g012510,Bo3g012520,Bo3g125090,Bo4g045630,Bo6g099620,Bo9g071480,Bo9g161390","Bra004137,Bra006396,Bra006397,Bra008561,Bra017429,Bra021090,Bra023612,Bra026621","GSBRNA2T00019407001,GSBRNA2T00030878001,GSBRNA2T00040644001,GSBRNA2T00061179001,GSBRNA2T00067484001,GSBRNA2T00074842001,GSBRNA2T00090129001,GSBRNA2T00094857001,GSBRNA2T00114861001,GSBRNA2T00117762001,GSBRNA2T00124474001,GSBRNA2T00130170001,GSBRNA2T00130171001,GSBRNA2T00140626001,GSBRNA2T00143158001","fgenesh2_kg.5__115__AT2G02010.1,fgenesh2_kg.6__1733__AT5G17330.1,scaffold_201298.1","AT1G65960,AT2G02000,AT2G02010,AT5G17330","g00038,g14594,g14595,g25975,g30299","CCACVL1_24548","B456_002G169900,B456_005G154700,B456_008G169300","TCM_011174","Pp3c14_21530,Pp3c17_22200,Pp3c23_8800,Pp3c8_7810",NA,NA,"Gasu_16100","CMF072C",NA
"292","Q10P67","SELMODRAFT_108503,SELMODRAFT_168311","AMTR_s00066p00104940","Dr11373","GSMUA_Achr1G02550_001,GSMUA_Achr4G25630_001","Zm00001d047935","SORBI_3001G438600","SETIT_040236mg","LPERR03G09220","OBART03G10320","OMERI03G09560","OGLUM03G10090","ORGLA03G0099300","OPUNC03G09950","OS03G0245100","BGIOSGA012223","ONIVA03G10950","OB03G20500","ORUFI03G10540","KN538691.1_FG059","BRADI_1g68380v3","AET4Gv20571500","TRIDC4AG010700,TRIDC4BG039900","TRIUR3_26268","TraesCS4A02G069000,TraesCS4B02G226100,TraesCS4D02G226800","HORVU4Hr1G063600","BVRB_2g045590,BVRB_6g155940","A4A49_00686","Solyc01g098380.3","PGSC0003DMG400028592","HannXRQ_Chr02g0032821,HannXRQ_Chr05g0133541","DCAR_002599","VIT_05s0094g01480","TanjilG_11230,TanjilG_30515","Tp57577_TGAC_v2_gene5068","MTR_8g028145","vigra.VC1973A.gnm6.ann1.Vradi04g07920","LR48_Vigan03g035800","PHAVU_001G003100g,PHAVU_010G108900g","GLYMA_07G060300,GLYMA_16G028900","PRUPE_6G152500,PRUPE_7G270700","MANES_05G207900","POPTR_007G145900v3,POPTR_017G001900v3","Csa_7G209030","Bo3g037050,Bo4g194770","Bra000338,Bra037671","GSBRNA2T00022021001,GSBRNA2T00045154001,GSBRNA2T00101443001,GSBRNA2T00139025001","fgenesh2_kg.4__2582__AT2G44040.1,fgenesh2_kg.5__2445__AT3G59890.1","AT2G44040,AT3G59890","g18078,g29823","CCACVL1_10854","B456_001G202100,B456_006G143300,B456_007G347100","TCM_001303","Pp3c15_7380","OSTLU_40454","CHLRE_14g627850v5","Gasu_11580","CMN258C","CHC_T00003353001"
"293","Q10P01","SELMODRAFT_230105,SELMODRAFT_269519","AMTR_s00168p00017970","Dr13020","GSMUA_Achr4G18030_001,GSMUA_Achr5G03980_001,GSMUA_Achr5G14450_001","Zm00001d004560,Zm00001d007424,Zm00001d028443,Zm00001d047908,Zm00001d050220","SORBI_3001G434900","SETIT_035420mg","LPERR03G09580","OBART03G10850","OMERI03G09990","OGLUM03G10730","ORGLA03G0104100","OPUNC03G10430","OS03G0252800","BGIOSGA011098","ONIVA03G11420","OB03G21010","ORUFI03G11090","KN539284.1_FG009","BRADI_1g67920v3","AET4Gv20562100","TRIDC3AG069830,TRIDC4AG011190,TRIDC4BG039290","TRIUR3_25420,TRIUR3_29237","TraesCS4A02G081700,TraesCS4B02G222100,TraesCS4D02G222600","HORVU4Hr1G062740","BVRB_1g016420","A4A49_10493,A4A49_33868","Solyc08g066020.2,Solyc11g019960.2","PGSC0003DMG400027619","HannXRQ_Chr05g0134541,HannXRQ_Chr05g0134611,HannXRQ_Chr05g0150761","DCAR_009315,DCAR_020911","VIT_07s0130g00350","TanjilG_08219,TanjilG_22732,TanjilG_24499","Tp57577_TGAC_v2_gene18000,Tp57577_TGAC_v2_gene3789","MTR_1g018970,MTR_3g054030,MTR_5g072020","vigra.VC1973A.gnm6.ann1.Vradi06g14960","LR48_Vigan07g268900","PHAVU_001G024100g","GLYMA_14G085100,GLYMA_17G239700","PRUPE_1G431600","MANES_12G080800","POPTR_012G043800v3,POPTR_015G034600v3","Csa_2G356100","Bo1g005640,Bo7g117970","Bra011684,Bra012007,Bra017762","GSBRNA2T00027609001,GSBRNA2T00043869001,GSBRNA2T00121484001,GSBRNA2T00131031001","scaffold_700461.1","AT4G36480","g03076","CCACVL1_15935","B456_002G090700,B456_011G002400,B456_011G091200","TCM_027778","Pp3c7_5350",NA,"CHLRE_03g146507v5","Gasu_30970",NA,"CHC_T00008326001"
"294","Q10NY2","SELMODRAFT_115161,SELMODRAFT_163891,SELMODRAFT_404377,SELMODRAFT_439915,SELMODRAFT_79194,SELMODRAFT_88677",NA,"Dr13533","GSMUA_Achr4G09920_001,GSMUA_Achr6G22950_001,GSMUA_Achr6G36440_001","Zm00001d028481,Zm00001d047897","SORBI_3001G433800","SETIT_033987mg",NA,"OBART03G10970","OMERI03G10250","OGLUM03G10880","ORGLA03G0105300","OPUNC03G10570","OS03G0254700","BGIOSGA011089","ONIVA03G11590","OB03G21140","ORUFI03G11260","KN538688.1_FG147","BRADI_1g67800v3","AET4Gv20560300","TRIDC4AG011380,TRIDC4BG039040","TRIUR3_32601","TraesCS4A02G083300,TraesCS4B02G220900,TraesCS4D02G221200","HORVU0Hr1G008690","BVRB_2g030840,BVRB_9g219140",NA,"Solyc03g117360.3,Solyc08g029050.3","PGSC0003DMG400010959,PGSC0003DMG401014138","HannXRQ_Chr02g0034851,HannXRQ_Chr04g0098071,HannXRQ_Chr05g0156791,HannXRQ_Chr09g0274801,HannXRQ_Chr16g0500261","DCAR_021358,DCAR_025528","VIT_04s0008g06330,VIT_09s0002g08370","TanjilG_04351,TanjilG_30143,TanjilG_30144","Tp57577_TGAC_v2_gene37293,Tp57577_TGAC_v2_gene38602","MTR_2g104140,MTR_4g009840","vigra.VC1973A.gnm6.ann1.Vradi05g16430,vigra.VC1973A.gnm6.ann1.Vradi09g00030","LR48_Vigan05g223000,LR48_Vigan406s008200","PHAVU_005G180100g,PHAVU_010G157700g","GLYMA_04G065000,GLYMA_06G066200,GLYMA_07G028000,GLYMA_08G214600,GLYMA_13G367300,GLYMA_15G006100","PRUPE_1G484400,PRUPE_3G093100","MANES_04G108600,MANES_11G061200,MANES_16G124700,MANES_16G124800","POPTR_001G200500v3,POPTR_003G030000v3,POPTR_006G257900v3,POPTR_006G258100v3,POPTR_018G023800v3,POPTR_018G023900v3","Csa_4G006320","Bo5g021180,Bo6g080420,Bo8g105910","Bra003569,Bra026112,Bra026751","GSBRNA2T00010426001,GSBRNA2T00054238001,GSBRNA2T00062275001,GSBRNA2T00099161001,GSBRNA2T00132089001,GSBRNA2T00136660001","fgenesh2_kg.1__1727__AT1G15750.2,scaffold_203017.1","AT1G15750,AT1G80490","g01603,g10006","CCACVL1_23363,CCACVL1_23364,CCACVL1_27789","B456_006G102300,B456_009G059700,B456_009G126400,B456_010G116500,B456_010G224000","TCM_027305,TCM_036961,TCM_036963","Pp3c15_9880,Pp3c9_21250",NA,NA,NA,NA,NA
"295","Q10NQ3",NA,"AMTR_s00156p00017490","Dr02162","GSMUA_Achr8G18180_001",NA,"SORBI_3001G428800","SETIT_035389mg","LPERR03G10180","OBART03G11460","OMERI03G10730","OGLUM03G11420","ORGLA03G0110700",NA,"OS03G0262900","BGIOSGA012272","ONIVA03G12650",NA,"ORUFI03G11810","KN538688.1_FG005,KN538688.1_FG172",NA,"AET4Gv20549700","TRIDC4AG012090",NA,"TraesCS4A02G088300,TraesCS4B02G215900,TraesCS4D02G216400","HORVU4Hr1G061320","BVRB_1g000470","A4A49_08826","Solyc01g096990.3","PGSC0003DMG400027521","HannXRQ_Chr14g0440811,HannXRQ_Chr15g0496671","DCAR_020428","VIT_18s0001g04140",NA,NA,NA,NA,NA,NA,NA,NA,"MANES_02G158500,MANES_14G142500","POPTR_005G171500v3","Csa_2G128630",NA,NA,NA,NA,NA,NA,NA,"B456_010G046700","TCM_035005",NA,NA,NA,NA,NA,NA
"296","Q84QC0","SELMODRAFT_130900,SELMODRAFT_170071","AMTR_s00091p00092100","Dr18138","GSMUA_Achr10G00190_001,GSMUA_Achr10G22400_001","Zm00001d028534,Zm00001d047854","SORBI_3001G427900","SETIT_036935mg","LPERR03G10280","OBART03G11560","OMERI03G10830","OGLUM03G11520","ORGLA03G0111700","OPUNC03G11110","OS03G0264000","BGIOSGA011057","ONIVA03G12750","OB03G21720","ORUFI03G11910","KN538688.1_FG180","BRADI_1g67260v3","AET4Gv20546800","TRIDC4AG012220,TRIDC4BG038200",NA,"TraesCS4A02G089500,TraesCS4B02G214800,TraesCS4D02G215400","HORVU4Hr1G061140,HORVU4Hr1G061150","BVRB_9g211350","A4A49_65392","Solyc01g108230.3","PGSC0003DMG400025796","HannXRQ_Chr09g0250401","DCAR_029057","VIT_03s0063g00390","TanjilG_19319,TanjilG_27934","Tp57577_TGAC_v2_gene25419","MTR_4g086150","vigra.VC1973A.gnm6.ann1.Vradi07g03930","LR48_Vigan09g073500","PHAVU_003G292300g","GLYMA_02G132400,GLYMA_07G212500","PRUPE_8G125400,PRUPE_8G125600","MANES_07G077800,MANES_10G071500","POPTR_004G141000v3,POPTR_009G101800v3","Csa_7G073690","Bo1g114850,Bo3g073060,Bo5g115360","Bra001740,Bra022406,Bra037534","GSBRNA2T00005622001,GSBRNA2T00021399001,GSBRNA2T00023320001,GSBRNA2T00107477001,GSBRNA2T00137413001,GSBRNA2T00154045001","fgenesh1_pm.C_scaffold_3001698","AT3G19260","g22496","CCACVL1_16958","B456_008G025000,B456_013G043800","TCM_007062","Pp3c15_4530,Pp3c23_10940",NA,NA,NA,NA,NA
