,Rice reference genes,Gene orthology projections on various plant species using Compara (30%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q8H6H4,OS03G0150600,,"AMTR_s00009p00128300,AMTR_s00009p00128360","g03173,g11491,g12450,g17603,g17604,g17607","Al_scaffold_0178_3,fgenesh1_pm.C_scaffold_8000402,fgenesh2_kg.178__1__AT5G43350.1,fgenesh2_kg.4__1284__AT2G32830.1,fgenesh2_kg.4__1973__AT2G38940.1,fgenesh2_kg.5__1867__AT3G54700.1,fgenesh2_kg.8__478__AT5G43370.1,fgenesh2_kg.8__480__AT5G43350.1,scaffold_11700004.1","AT2G32830,AT2G38940,AT3G54700,AT5G43350,AT5G43360,AT5G43370","BVRB_3g049110,BVRB_3g049120,BVRB_5g097840,BVRB_5g103240",BRADI_1g75020v3,"GSBRNA2T00005340001,GSBRNA2T00006817001,GSBRNA2T00018833001,GSBRNA2T00018834001,GSBRNA2T00030244001,GSBRNA2T00030245001,GSBRNA2T00053144001,GSBRNA2T00053154001,GSBRNA2T00053156001,GSBRNA2T00069622001,GSBRNA2T00071129001,GSBRNA2T00076929001,GSBRNA2T00084779001,GSBRNA2T00088269001,GSBRNA2T00096861001,GSBRNA2T00100702001,GSBRNA2T00103761001,GSBRNA2T00103763001,GSBRNA2T00116867001,GSBRNA2T00116869001,GSBRNA2T00126427001,GSBRNA2T00132254001,GSBRNA2T00152867001,GSBRNA2T00155254001",,"Bra005070,Bra005071,Bra014798,Bra017093,Bra017275,Bra022925,Bra027487,Bra027491,Bra033673,Bra033675,Bra035977,Bra035978,Bra035979",,,"CCACVL1_01486,CCACVL1_01489,CCACVL1_01951,CCACVL1_02565","Csa_2G175170,Csa_3G135080,Csa_3G135100",,"DCAR_005690,DCAR_012544",Dr03892,,,,"HannXRQ_Chr03g0091381,HannXRQ_Chr03g0091391,HannXRQ_Chr04g0112621,HannXRQ_Chr09g0254401,HannXRQ_Chr10g0280991,HannXRQ_Chr10g0281001,HannXRQ_Chr15g0467861",,LPERR03G03570,,"MANES_03G164600,MANES_03G164700,MANES_12G031900,MANES_13G033400,MANES_15G040200,MANES_15G040300,MANES_15G056000","MTR_1g069935,MTR_1g074930,MTR_1g074940,MTR_3g082700,MTR_7g096870",GSMUA_Achr5G15540_001,"A4A49_23015,A4A49_33775,A4A49_35842,A4A49_40019","OBART03G03920,OBART03G03940,OBART04G22770",OB03G13990,ORGLA03G0037000,,BGIOSGA011440,KN538795.1_FG041,,ONIVA03G03700,OPUNC03G03620,,,"PHAVU_007G127300g,PHAVU_007G127400g,PHAVU_007G2732000g","Pp3c10_24280,Pp3c16_15980,Pp3c2_35170,Pp3c6_26510,Pp3c9_15090","POPTR_010G071600v3,POPTR_010G071700v3,POPTR_010G072000v3","PRUPE_1G038600,PRUPE_1G038700,PRUPE_2G042500",,,"Solyc03g005537.1,Solyc06g034200.1,Solyc09g066410.2,Solyc09g090070.2","PGSC0003DMG400003798,PGSC0003DMG400010288,PGSC0003DMG400017225,PGSC0003DMG400017226",,"TCM_004051,TCM_020262,TCM_020881",,,TRIDC4AG055100,,"LR48_Vigan09g113400,LR48_Vigan09g113500",vigra.VC1973A.gnm6.ann1.Vradi08g15080,,
 Q8GSD9,OS03G0150800,,"AMTR_s00009p00128300,AMTR_s00009p00128360","g03173,g11491,g12450,g17603,g17604,g17607","Al_scaffold_0178_3,fgenesh1_pm.C_scaffold_8000402,fgenesh2_kg.178__1__AT5G43350.1,fgenesh2_kg.4__1284__AT2G32830.1,fgenesh2_kg.4__1973__AT2G38940.1,fgenesh2_kg.5__1867__AT3G54700.1,fgenesh2_kg.8__478__AT5G43370.1,fgenesh2_kg.8__480__AT5G43350.1,scaffold_11700004.1","AT2G32830,AT2G38940,AT3G54700,AT5G43350,AT5G43360,AT5G43370","BVRB_3g049110,BVRB_3g049120,BVRB_5g097840,BVRB_5g103240",BRADI_1g75020v3,"GSBRNA2T00005340001,GSBRNA2T00006817001,GSBRNA2T00018833001,GSBRNA2T00018834001,GSBRNA2T00030244001,GSBRNA2T00030245001,GSBRNA2T00053144001,GSBRNA2T00053154001,GSBRNA2T00053156001,GSBRNA2T00069622001,GSBRNA2T00071129001,GSBRNA2T00076929001,GSBRNA2T00084779001,GSBRNA2T00088269001,GSBRNA2T00096861001,GSBRNA2T00100702001,GSBRNA2T00103761001,GSBRNA2T00103763001,GSBRNA2T00116867001,GSBRNA2T00116869001,GSBRNA2T00126427001,GSBRNA2T00132254001,GSBRNA2T00152867001,GSBRNA2T00155254001",,"Bra005070,Bra005071,Bra014798,Bra017093,Bra017275,Bra022925,Bra027487,Bra027491,Bra033673,Bra033675,Bra035977,Bra035978,Bra035979",,,"CCACVL1_01486,CCACVL1_01489,CCACVL1_01951,CCACVL1_02565","Csa_2G175170,Csa_3G135080,Csa_3G135100",,"DCAR_005690,DCAR_012544",Dr03892,,,,"HannXRQ_Chr03g0091381,HannXRQ_Chr03g0091391,HannXRQ_Chr04g0112621,HannXRQ_Chr09g0254401,HannXRQ_Chr10g0280991,HannXRQ_Chr10g0281001,HannXRQ_Chr15g0467861",,LPERR03G03590,,"MANES_03G164600,MANES_03G164700,MANES_12G031900,MANES_13G033400,MANES_15G040200,MANES_15G040300,MANES_15G056000","MTR_1g069935,MTR_1g074930,MTR_1g074940,MTR_3g082700,MTR_7g096870",GSMUA_Achr5G15540_001,"A4A49_23015,A4A49_33775,A4A49_35842,A4A49_40019",OBART03G03960,OB03G14000,,,BGIOSGA011439,KN538795.1_FG043,,ONIVA03G03720,OPUNC03G03640,,,"PHAVU_007G127300g,PHAVU_007G127400g,PHAVU_007G2732000g","Pp3c10_24280,Pp3c16_15980,Pp3c2_35170,Pp3c6_26510,Pp3c9_15090","POPTR_010G071600v3,POPTR_010G071700v3,POPTR_010G072000v3","PRUPE_1G038600,PRUPE_1G038700,PRUPE_2G042500",,,"Solyc03g005537.1,Solyc06g034200.1,Solyc09g066410.2,Solyc09g090070.2","PGSC0003DMG400003798,PGSC0003DMG400010288,PGSC0003DMG400017225,PGSC0003DMG400017226",,"TCM_004051,TCM_020262,TCM_020881",,,TRIDC4AG055100,,"LR48_Vigan09g113400,LR48_Vigan09g113500",vigra.VC1973A.gnm6.ann1.Vradi08g15080,,
 Q0DV32,OS03G0152400,AET4Gv20661700,AMTR_s00076p00189570,g08920,fgenesh2_kg.6__3300__AT4G05160.1,AT4G05160,BVRB_9g205510,BRADI_1g74870v3,"GSBRNA2T00067333001,GSBRNA2T00067335001,GSBRNA2T00083824001,GSBRNA2T00083825001","Bo9g076260,Bo9g076270","Bra029560,Bra029561",,,"CCACVL1_11759,CCACVL1_11760,CCACVL1_17826","Csa_1G108800,Csa_3G740270",,,,,"GLYMA_11G194500,GLYMA_12G079600,GLYMA_13G323000","B456_003G144900,B456_006G162900,B456_013G269100","HannXRQ_Chr02g0055421,HannXRQ_Chr02g0055431","HORVU4Hr1G072130,HORVU4Hr1G072150",LPERR03G03710,"TanjilG_04318,TanjilG_23608","MANES_04G015100,MANES_09G065500","MTR_1g063110,MTR_1g063120,MTR_2g095510,MTR_4g057730","GSMUA_Achr5G19650_001,GSMUA_Achr8G14210_001",,OBART03G04080,OB03G14130,ORGLA03G0038200,OGLUM03G03960,BGIOSGA011432,AMDW01039553.1_FG001,OMERI03G03860,ONIVA03G03830,OPUNC03G03750,ORUFI03G03770,,"PHAVU_005G131400g,PHAVU_011G084300g",Pp3c3_24370,"POPTR_004G102000v3,POPTR_017G112800v3","PRUPE_6G109000,PRUPE_7G129300","SELMODRAFT_181279,SELMODRAFT_446445","SETIT_034892mg,SETIT_034944mg,SETIT_035033mg,SETIT_039879mg,SETIT_039889mg",Solyc11g069050.2,PGSC0003DMG400008122,"SORBI_3001G187000,SORBI_3001G500800","TCM_022248,TCM_042143","Tp57577_TGAC_v2_gene11268,Tp57577_TGAC_v2_gene11634","TraesCS4A02G036200,TraesCS4B02G269200,TraesCS4D02G268400","TRIDC4AG005030,TRIDC4BG046620",TRIUR3_14392,"LR48_Vigan05g176100,LR48_Vigan598s000200","vigra.VC1973A.gnm6.ann1.Vradi02g06170,vigra.VC1973A.gnm6.ann1.Vradi04g03080","VIT_06s0061g00450,VIT_08s0007g05050","Zm00001d027711,Zm00001d033055"
 Q8S7T9,OS03G0167600,AET4Gv20688600,AMTR_s00133p00107670,g05840,fgenesh2_kg.3__1250__AT3G11980.1,AT3G11980,BVRB_3g064390,BRADI_1g73877v3,"GSBRNA2T00000240001,GSBRNA2T00111124001","Bo1g139700,Bo5g134950","Bra034793,Bra038691",,,CCACVL1_29551,Csa_4G551130,,"DCAR_013675,DCAR_017042",Dr18317,,GLYMA_02G169100,B456_006G144700,"HannXRQ_Chr01g0024851,HannXRQ_Chr12g0356911",HORVU4Hr1G074700,LPERR03G04410,TanjilG_19826,MANES_08G040400,MTR_1g054635,GSMUA_Achr1G05370_001,A4A49_36364,OBART03G05020,OB03G15110,ORGLA03G0048000,OGLUM03G04880,BGIOSGA011938,,OMERI03G04730,ONIVA03G04820,OPUNC03G04740,ORUFI03G04790,,PHAVU_007G262300g,"Pp3c11_22660,Pp3c7_2660","POPTR_006G196500v3,POPTR_016G062200v3",PRUPE_7G084900,"SELMODRAFT_101717,SELMODRAFT_270198,SELMODRAFT_270623,SELMODRAFT_80322",SETIT_034786mg,Solyc03g051960.3,,SORBI_3001G492400,"TCM_025019,TCM_025021",Tp57577_TGAC_v2_gene19352,"TraesCS4A02G020500,TraesCS4B02G283200,TraesCS4D02G282000","TRIDC4AG002810,TRIDC4BG048800",,LR48_Vigan02g022100,vigra.VC1973A.gnm6.ann1.Vradi08g01600,VIT_08s0007g07100,Zm00001d048337
 Q10R90,OS03G0167700,AET4Gv20688700,,,,,,BRADI_1g73870v3,GSBRNA2T00098936001,,,,CHC_T00009030001,CCACVL1_12674,Csa_4G280520,,,Dr14148,Gasu_32010,"GLYMA_05G155300,GLYMA_08G113200","B456_004G017300,B456_009G000500",,HORVU4Hr1G074680,LPERR03G04420,"TanjilG_14824,TanjilG_23174,TanjilG_31355",,MTR_8g085610,,,OBART03G05030,OB03G15120,ORGLA03G0048100,OGLUM03G04890,BGIOSGA011381,KN538724.1_FG047,OMERI03G04740,ONIVA03G04830,OPUNC03G04750,ORUFI03G04800,,PHAVU_002G235400g,"Pp3c16_19120,Pp3c25_7000,Pp3c25_7010","POPTR_001G007800v3,POPTR_003G217900v3",,"SELMODRAFT_228841,SELMODRAFT_270568",SETIT_036078mg,Solyc01g073650.3,PGSC0003DMG400031130,SORBI_3001G492300,,Tp57577_TGAC_v2_gene11881,"TraesCS4A02G020400,TraesCS4B02G283300,TraesCS4D02G282100","TRIDC4AG002800,TRIDC4BG048810",TRIUR3_04470,LR48_Vigan03g291300,vigra.VC1973A.gnm6.ann1.Vradi07g16830,,"Zm00001d027826,Zm00001d048336"
 Q9ZTP5,OS03G0169100,AET4Gv20694000,AMTR_s00078p00063510,g10808,scaffold_802784.1,AT5G61410,BVRB_5g114350,BRADI_1g73770v3,"GSBRNA2T00017925001,GSBRNA2T00040917001,GSBRNA2T00107090001,GSBRNA2T00113550001,GSBRNA2T00136150001","Bo2g161610,Bo7g098580","Bra009244,Bra012962,Bra012963",CHLRE_12g511900v5,CHC_T00008270001,CCACVL1_04011,Csa_1G038360,"CMI084C,CMT633C",DCAR_016573,Dr18307,Gasu_18200,"GLYMA_05G025300,GLYMA_17G101700","B456_001G072700,B456_008G194500",HannXRQ_Chr02g0043141,HORVU4Hr1G074810,LPERR03G04530,"TanjilG_13255,TanjilG_18447","MANES_06G090100,MANES_14G081000",MTR_4g108800,"GSMUA_Achr2G21940_001,GSMUA_Achr6G10790_001",A4A49_20797,OBART03G05160,OB03G15250,ORGLA03G0049300,OGLUM03G05030,BGIOSGA011944,KN538724.1_FG062,,ONIVA03G04970,OPUNC03G04860,ORUFI03G04930,OSTLU_32100,PHAVU_003G188800g,"Pp3c11_3710,Pp3c1_8270,Pp3c7_23810",POPTR_015G062100v3,PRUPE_5G197000,"SELMODRAFT_154018,SELMODRAFT_228435",SETIT_036994mg,Solyc03g115820.3,PGSC0003DMG400019521,SORBI_3001G491000,TCM_014095,,"TraesCS4A02G019100,TraesCS4B02G285000,TraesCS4D02G283800","TRIDC4AG002570,TRIDC4BG048990",TRIUR3_11821,LR48_Vigan01g284600,vigra.VC1973A.gnm6.ann1.Vradi07g17140,VIT_17s0000g06450,"Zm00001d027841,Zm00001d048324"
 Q8H016,OS03G0179900,AET4Gv20713600,AMTR_s00024p00245050,"g04011,g25948","fgenesh2_kg.1__1901__AT1G17420.1,fgenesh2_kg.2__1515__AT1G72520.1","AT1G17420,AT1G72520",BVRB_7g169930,BRADI_1g72690v3,"GSBRNA2T00016257001,GSBRNA2T00042422001,GSBRNA2T00093927001,GSBRNA2T00102996001,GSBRNA2T00136769001,GSBRNA2T00137200001","Bo2g076880,Bo8g067210,Bo8g104870","Bra008037,Bra016602,Bra030988",,,CCACVL1_15674,Csa_7G449420,,"DCAR_007649,DCAR_016115,DCAR_026417",Dr12465,,"GLYMA_03G264300,GLYMA_07G039900,GLYMA_07G196800,GLYMA_13G239000,GLYMA_16G008700,GLYMA_19G263300","B456_006G087200,B456_010G255600,B456_010G255700,B456_011G060400","HannXRQ_Chr04g0094721,HannXRQ_Chr09g0276861,HannXRQ_Chr10g0279251","HORVU4Hr1G076570,HORVU5Hr1G055110",LPERR03G05150,"TanjilG_12080,TanjilG_20187,TanjilG_22644","MANES_04G145800,MANES_11G019100,MANES_16G028000","MTR_4g088810,MTR_8g020970",GSMUA_Achr10G17530_001,A4A49_32174,OBART03G05840,OB03G15930,ORGLA03G0056300,OGLUM03G05840,BGIOSGA011980,KN538702.1_FG124,OMERI03G05680,ONIVA03G05820,OPUNC03G05630,ORUFI03G05660,,"PHAVU_002G228700g,PHAVU_006G185300g,PHAVU_009G262900g,PHAVU_010G128800g",Pp3c12_14480,"POPTR_001G167700v3,POPTR_003G067600v3","PRUPE_3G039200,PRUPE_4G047800",SELMODRAFT_168576,SETIT_034131mg,Solyc03g122340.3,PGSC0003DMG400022894,SORBI_3001G483400,"TCM_029150,TCM_029861,TCM_029862,TCM_029865","Tp57577_TGAC_v2_gene12117,Tp57577_TGAC_v2_gene16748","TraesCS4A02G009400,TraesCS4B02G295200,TraesCS4D02G294100","TRIDC4AG001260,TRIDC4BG050510",TRIUR3_25642,"LR48_Vigan01g059700,LR48_Vigan09g243600,LR48_Vigan11g008900","vigra.VC1973A.gnm6.ann1.Vradi05g00060,vigra.VC1973A.gnm6.ann1.Vradi07g16340,vigra.VC1973A.gnm6.ann1.Vradi09g02570,vigra.VC1973A.gnm6.ann1.Vradi10g10870","VIT_00s0265g00170,VIT_09s0002g01080",Zm00001d027893
 Q8GSI0,OS03G0180800,AET4Gv20717600,,,,,,BRADI_1g72610v3,,,,,,,,,,,,,,,HORVU4Hr1G076850,LPERR03G05230,,,,,,OBART03G05930,,ORGLA03G0057200,OGLUM03G05930,BGIOSGA011332,,OMERI03G05750,ONIVA03G05920,OPUNC03G05740,ORUFI03G05750,,,,,,,SETIT_037536mg,,,SORBI_3001G482800,,,"TraesCS4A02G008000,TraesCS4B02G296900,TraesCS4D02G295800","TRIDC4AG001120,TRIDC4BG050780",,,,,"Zm00001d027899,Zm00001d048268"
 Q8GRS2,OS03G0180900,AET4Gv20717800,,,,,,BRADI_1g72600v3,,,,,,,,,,,,,,,,LPERR03G05240,,,,,,OBART03G05940,OB03G16010,ORGLA03G0057300,OGLUM03G05940,BGIOSGA011983,KN538702.1_FG113,OMERI03G05760,ONIVA03G05930,OPUNC03G05760,ORUFI03G05760,,,,,,,SETIT_037592mg,,,SORBI_3001G482700,,,"TraesCS4A02G007900,TraesCS4D02G295900","TRIDC4AG001110,TRIDC4BG050790",,,,,Zm00001d027900
 Q0DUI1,OS03G0185000,AET4Gv20650200,AMTR_s00028p00071100,g05705,"fgenesh2_kg.1__4616__AT1G55920.1,scaffold_301498.1","AT1G55920,AT3G13110",BVRB_4g090050,BRADI_1g71430v3,"GSBRNA2T00008091001,GSBRNA2T00011337001,GSBRNA2T00032469001,GSBRNA2T00034695001,GSBRNA2T00074688001,GSBRNA2T00125599001,GSBRNA2T00141452001","Bo3g185740,Bo4g040020,Bo6g035890,Bo6g051550","Bra030821,Bra034705,Bra037094,Bra038031",CHLRE_10g466750v5,,CCACVL1_11257,Csa_3G769110,"CMA007C,CMI299C","DCAR_013222,DCAR_017087",Dr10681,"Gasu_43310,Gasu_48740","GLYMA_02G299100,GLYMA_08G327400,GLYMA_14G014700,GLYMA_18G080000","B456_002G098400,B456_013G154200","HannXRQ_Chr03g0077731,HannXRQ_Chr11g0324721,HannXRQ_Chr11g0333431",HORVU4Hr1G071040,"LPERR03G06300,LPERR03G06370","TanjilG_11643,TanjilG_15269,TanjilG_25015,TanjilG_29688","MANES_03G139000,MANES_15G062000","MTR_3g058410,MTR_5g095470",GSMUA_AchrUn_randomG02510_001,A4A49_01111,,OB03G17240,ORGLA03G0060400,,BGIOSGA012000,,OMERI03G06870,ONIVA02G06670,OPUNC03G06760,ORUFI03G06090,OSTLU_87889,"PHAVU_006G055200g,PHAVU_008G277800g","Pp3c23_17150,Pp3c24_14040,Pp3c8_18470","POPTR_001G364000v3,POPTR_001G365500v3","PRUPE_4G239400,PRUPE_4G239500","SELMODRAFT_101485,SELMODRAFT_132502",,"Solyc07g065340.1,Solyc10g006040.1","PGSC0003DMG400014379,PGSC0003DMG400022181",SORBI_3001G470000,"TCM_030406,TCM_030673",Tp57577_TGAC_v2_gene8597,"TraesCS4A02G042700,TraesCS4B02G263300,TraesCS4D02G263500","TRIDC4AG005970,TRIDC4BG045630",,"LR48_Vigan07g013100,LR48_Vigan09g100400","vigra.VC1973A.gnm6.ann1.Vradi06g01110,vigra.VC1973A.gnm6.ann1.Vradi10g02650","VIT_00s0194g00120,VIT_19s0015g00130",Zm00001d028154
 Q10QR9,OS03G0186100,AET4Gv20727400,AMTR_s00123p00013920,g18616,fgenesh2_kg.4__574__AT2G26540.1,AT2G26540,BVRB_1g013360,BRADI_1g72180v3,"GSBRNA2T00049551001,GSBRNA2T00127186001",Bo8g098680,Bra007749,CHLRE_09g409100v5,CHC_T00007253001,,Csa_2G360600,CML040C,DCAR_019467,Dr02196,,"GLYMA_04G037000,GLYMA_06G037300",B456_009G209500,"HannXRQ_Chr02g0038741,HannXRQ_Chr09g0268001",,LPERR03G05630,TanjilG_09783,"MANES_05G170800,MANES_18G034000",MTR_3g101350,GSMUA_Achr2G07670_001,,OBART03G06300,OB03G16390,ORGLA03G0060900,OGLUM03G06310,BGIOSGA012004,KN538733.1_FG060,OMERI03G06130,ONIVA02G06580,OPUNC03G06080,ORUFI03G06190,OSTLU_5668,PHAVU_009G063100g,Pp3c9_18350,POPTR_014G034700v3,PRUPE_1G440800,"SELMODRAFT_403066,SELMODRAFT_422651","SETIT_036733mg,SETIT_036841mg",Solyc04g079320.3,,SORBI_3001G478600,TCM_033898,Tp57577_TGAC_v2_gene10521,"TraesCS4A02G002800,TraesCS4B02G302400,TraesCS4D02G300900","TRIDC4AG000420,TRIDC4BG051520",TRIUR3_22388,LR48_Vigan09g018700,vigra.VC1973A.gnm6.ann1.Vradi05g12870,VIT_18s0001g11090,Zm00001d027950
 O64437,OS03G0192700,AET4Gv20656900,AMTR_s00010p00205090,"g02868,g19198,g21668","fgenesh2_kg.6__978__AT5G10170.1,scaffold_400174.1,scaffold_700208.1","AT2G22240,AT4G39800,AT5G10170",BVRB_6g135490,BRADI_1g71667v3,"GSBRNA2T00032843001,GSBRNA2T00068996001,GSBRNA2T00069156001,GSBRNA2T00078209001,GSBRNA2T00103926001,GSBRNA2T00127475001,GSBRNA2T00131240001,GSBRNA2T00135919001,GSBRNA2T00143532001,GSBRNA2T00149699001","Bo00975s030,Bo1g002870,Bo2g009740,Bo4g149430,Bo8g101260","Bra009054,Bra011830,Bra028596,Bra030253,Bra038538",CHLRE_03g180250v5,CHC_T00008380001,CCACVL1_01982,"Csa_4G031000,Csa_6G500600",CMR036C,"DCAR_014243,DCAR_032177",Dr12405,Gasu_11420,"GLYMA_05G180600,GLYMA_08G138200,GLYMA_11G238800,GLYMA_18G018600","B456_003G044700,B456_007G241600",HannXRQ_Chr07g0192731,HORVU4Hr1G071730,LPERR03G06050,"TanjilG_08590,TanjilG_11044,TanjilG_16753","MANES_12G137800,MANES_13G091100","MTR_3g087590,MTR_8g091320","GSMUA_Achr1G21570_001,GSMUA_AchrUn_randomG14150_001,GSMUA_AchrUn_randomG16750_001","A4A49_09650,A4A49_31631",OBART03G06720,OB03G16880,ORGLA03G0065300,OGLUM03G06840,BGIOSGA011293,KN538733.1_FG007,OMERI03G06640,ONIVA03G06440,OPUNC03G06510,ORUFI03G06660,OSTLU_36109,"PHAVU_001G251000g,PHAVU_002G261700g","Pp3c3_30990,Pp3c4_1020","POPTR_005G078700v3,POPTR_007G089000v3",PRUPE_6G180500,"SELMODRAFT_171862,SELMODRAFT_270269",SETIT_034590mg,"Solyc04g050820.2,Solyc04g054740.3,Solyc05g051850.3","PGSC0003DMG400021831,PGSC0003DMG400027916",SORBI_3001G472800,TCM_001164,,"TraesCS4A02G038500,TraesCS4B02G267200,TraesCS4D02G266700","TRIDC4AG005340,TRIDC4BG046250",TRIUR3_05680,"LR48_Vigan01g024300,LR48_Vigan03g305100",,VIT_07s0031g00920,"Zm00001d028180,Zm00001d048201"
 Q6VMN7,OS03G0195100,AET4Gv20652300,AMTR_s00010p00221790,g21291,fgenesh2_kg.3__3025__AT2G13810.1,AT2G13810,BVRB_1g021370,BRADI_1g71530v3,"GSBRNA2T00149973001,GSBRNA2T00155039001,GSBRNA2T00155043001",Bo3g087210,"Bra013137,Bra013138",CHLRE_17g734200v5,CHC_T00008432001,"CCACVL1_10016,CCACVL1_20057",Csa_2G404730,,DCAR_021843,Dr09737,Gasu_26260,"GLYMA_08G180600,GLYMA_15G051800","B456_005G218300,B456_009G241000",HannXRQ_Chr07g0190651,HORVU4Hr1G071300,LPERR03G06220,TanjilG_14884,MANES_18G071300,MTR_2g008430,GSMUA_Achr7G11650_001,,OBART03G06890,OB03G17110,ORGLA03G0067000,OGLUM03G07000,BGIOSGA012042,KN541076.1_FG004,OMERI03G06780,ONIVA03G06610,OPUNC03G06660,ORUFI03G06830,OSTLU_30412,PHAVU_008G169600g,Pp3c13_22230,"POPTR_002G091500v3,POPTR_005G115800v3,POPTR_007G013200v3","PRUPE_1G509100,PRUPE_1G509500,PRUPE_1G558600","SELMODRAFT_444047,SELMODRAFT_448443",SETIT_035771mg,Solyc11g044840.2,PGSC0003DMG400022929,SORBI_3001G471100,"TCM_007530,TCM_034983",Tp57577_TGAC_v2_gene13611,"TraesCS4A02G043800,TraesCS4B02G264500,TraesCS4D02G264500","TRIDC4AG006080,TRIDC4BG045830",,"LR48_Vigan07g168200,LR48_Vigan1210s000200",,"VIT_12s0055g00920,VIT_18s0001g04630",Zm00001d028165
 Q10QH1,OS03G0196600,AET4Gv20650200,AMTR_s00028p00071100,g05705,"fgenesh2_kg.1__4616__AT1G55920.1,scaffold_301498.1","AT1G55920,AT3G13110",BVRB_4g090050,BRADI_1g71430v3,"GSBRNA2T00008091001,GSBRNA2T00011337001,GSBRNA2T00032469001,GSBRNA2T00034695001,GSBRNA2T00074688001,GSBRNA2T00125599001,GSBRNA2T00141452001","Bo3g185740,Bo4g040020,Bo6g035890,Bo6g051550","Bra030821,Bra034705,Bra037094,Bra038031",CHLRE_10g466750v5,,CCACVL1_11257,Csa_3G769110,"CMA007C,CMI299C","DCAR_013222,DCAR_017087",Dr10681,"Gasu_43310,Gasu_48740","GLYMA_02G299100,GLYMA_08G327400,GLYMA_14G014700,GLYMA_18G080000","B456_002G098400,B456_013G154200","HannXRQ_Chr03g0077731,HannXRQ_Chr11g0324721,HannXRQ_Chr11g0333431",HORVU4Hr1G071040,"LPERR03G06300,LPERR03G06370","TanjilG_11643,TanjilG_15269,TanjilG_25015,TanjilG_29688","MANES_03G139000,MANES_15G062000","MTR_3g058410,MTR_5g095470","GSMUA_Achr6G24840_001,GSMUA_AchrUn_randomG02510_001",A4A49_01111,OBART03G06970,OB03G17240,ORGLA03G0068000,,BGIOSGA011282,,OMERI03G06860,ONIVA03G06720,OPUNC03G06760,,OSTLU_87889,"PHAVU_006G055200g,PHAVU_008G277800g","Pp3c23_17150,Pp3c24_14040,Pp3c8_18470","POPTR_001G364000v3,POPTR_001G365500v3","PRUPE_4G239400,PRUPE_4G239500","SELMODRAFT_101485,SELMODRAFT_132502",,"Solyc07g065340.1,Solyc10g006040.1","PGSC0003DMG400014379,PGSC0003DMG400022181",SORBI_3001G470000,"TCM_030406,TCM_030673",Tp57577_TGAC_v2_gene8597,"TraesCS4A02G042700,TraesCS4B02G263300,TraesCS4D02G263500","TRIDC4AG005970,TRIDC4BG045630",,"LR48_Vigan07g013100,LR48_Vigan09g100400","vigra.VC1973A.gnm6.ann1.Vradi06g01110,vigra.VC1973A.gnm6.ann1.Vradi10g02650","VIT_00s0194g00120,VIT_19s0015g00130",Zm00001d028154
 Q10QA5,OS03G0203200,AET4Gv20640700,AMTR_s00164p00017630,g06139,fgenesh2_kg.3__357__AT3G03990.1,AT3G03990,BVRB_1g015160,BRADI_1g70930v3,"GSBRNA2T00075622001,GSBRNA2T00097699001","Bo1g153270,Bo5g148480","Bra031957,Bra036416",,,CCACVL1_21735,Csa_2G354780,,DCAR_009882,Dr10595,,"GLYMA_14G089000,GLYMA_17G235300","B456_009G219500,B456_010G025600","HannXRQ_Chr11g0325791,HannXRQ_Chr12g0381331","HORVU4Hr1G070070,HORVU5Hr1G089150",LPERR03G06790,"TanjilG_01097,TanjilG_24939",MANES_18G046100,MTR_1g018320,"GSMUA_Achr6G07720_001,GSMUA_Achr6G24070_001,GSMUA_AchrUn_randomG08060_001",,OBART03G07370,OB03G17740,ORGLA03G0072300,OGLUM03G07540,BGIOSGA012067,KN538728.1_FG041,OMERI03G07240,ONIVA03G07830,OPUNC03G07190,ORUFI03G07410,,PHAVU_001G027400g,,"POPTR_002G118900v3,POPTR_014G016500v3",PRUPE_1G423400,,SETIT_036746mg,Solyc04g077860.3,,SORBI_3001G465100,TCM_034711,Tp57577_TGAC_v2_gene3785,"TraesCS4A02G046700,TraesCS4B02G258200,TraesCS4D02G258000","TRIDC4AG006480,TRIDC4BG044720",,LR48_Vigan07g265000,vigra.VC1973A.gnm6.ann1.Vradi06g14660,VIT_18s0001g09140,"Zm00001d028094,Zm00001d048146"
 Q10Q49,OS03G0209900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
